Component,Story,Mode,Violation count,Last updated,Impact
DatePicker,Date Range,1200px,22,2026-03-22 03:13:30,3-critical
DatePicker,Interactive Range,1200px,6,2026-03-22 03:13:30,3-critical
DatePicker,Year Picker,1200px,5,2026-03-22 03:13:30,3-critical
DatePicker,With Min Max,1200px,5,2026-03-22 03:13:30,3-critical
DatePicker,With Footer,1200px,4,2026-03-22 03:13:30,3-critical
DatePicker,Interactive,1200px,4,2026-03-22 03:13:30,3-critical
DatePicker,Default,1200px,2,2026-03-22 03:13:30,3-critical
SearchableTable,With Search,1200px,22,2026-03-22 03:13:30,3-critical
SearchableTable,With Title,1200px,12,2026-03-22 03:13:30,3-critical
Table,Default,1200px,32,2026-03-22 03:13:30,3-critical
Table,Full Featured,1200px,13,2026-03-22 03:13:30,3-critical
Table,With Selection,1200px,7,2026-03-22 03:13:30,3-critical
Table,With Leading Avatar,1200px,10,2026-03-22 03:13:30,2-serious
Table,Default,1200px,0,2026-03-22 03:13:30,
Table,With Sorting,1200px,0,2026-03-22 03:13:30,
DropZone,Multiple File Upload,1200px,7,2026-03-22 03:13:30,3-critical
DropZone,Single File Upload,1200px,4,2026-03-22 03:13:30,3-critical
DropZone,Default,1200px,4,2026-03-22 03:13:30,3-critical
DropZone,Error,1200px,3,2026-03-22 03:13:30,3-critical
DropZone,Uploading,1200px,2,2026-03-22 03:13:30,3-critical
DropZone,Success,1200px,2,2026-03-22 03:13:30,3-critical
DropZone,File Item States,1200px,5,2026-03-22 03:13:30,2-serious
SidebarMenu,All Themes,1200px,10,2026-03-22 03:13:30,3-critical
SidebarMenu,Default,1200px,4,2026-03-22 03:13:30,3-critical
SidebarMenu,Collapsible Toggle,1200px,3,2026-03-22 03:13:30,3-critical
SidebarMenu,With Sub Items,1200px,2,2026-03-22 03:13:30,2-serious
SidebarMenu,Collapsed,1200px,0,2026-03-22 03:13:30,
Select,With Helper Text,1200px,2,2026-03-22 03:13:30,3-critical
Select,With Disabled Options,1200px,2,2026-03-22 03:13:30,3-critical
Select,Default,1200px,2,2026-03-22 03:13:30,3-critical
Select,With Status,1200px,2,2026-03-22 03:13:30,3-critical
Select,With Descriptions,1200px,2,2026-03-22 03:13:30,3-critical
Select,With Icons,1200px,2,2026-03-22 03:13:30,3-critical
Select,With Avatars,1200px,2,2026-03-22 03:13:30,3-critical
Select,Controlled,1200px,1,2026-03-22 03:13:30,3-critical
Select,Filled,1200px,1,2026-03-22 03:13:30,3-critical
Select,Disabled,1200px,1,2026-03-22 03:13:30,3-critical
Button,All Variants,1200px,8,2026-03-22 03:13:30,3-critical
Button,Icon Only,1200px,1,2026-03-22 03:13:30,3-critical
Button,With Trailing Icon,1200px,1,2026-03-22 03:13:30,2-serious
Button,With Leading Icon,1200px,1,2026-03-22 03:13:30,2-serious
Button,Primary,1200px,1,2026-03-22 03:13:30,2-serious
Button,Large,1200px,1,2026-03-22 03:13:30,2-serious
Button,Text,1200px,0,2026-03-22 03:13:30,
Button,Destructive,1200px,0,2026-03-22 03:13:30,
Button,Destructive Outlined,1200px,0,2026-03-22 03:13:30,
Button,Grey Outlined,1200px,0,2026-03-22 03:13:30,
Button,Grey,1200px,0,2026-03-22 03:13:30,
Button,Secondary,1200px,0,2026-03-22 03:13:30,
Button,Disabled,1200px,0,2026-03-22 03:13:30,
Login,Card,1200px,3,2026-03-22 03:13:30,3-critical
Login,Standard,1200px,3,2026-03-22 03:13:30,3-critical
Login,Work Email,1200px,2,2026-03-22 03:13:30,3-critical
DropdownMenu,Icon Only Trigger,1200px,1,2026-03-22 03:13:30,3-critical
DropdownMenu,With Selection,1200px,0,2026-03-22 03:13:30,
DropdownMenu,Avatar Trigger,1200px,0,2026-03-22 03:13:30,
DropdownMenu,Disabled,1200px,0,2026-03-22 03:13:30,
DropdownMenu,Align Start,1200px,0,2026-03-22 03:13:30,
DropdownMenu,With Section Headers,1200px,0,2026-03-22 03:13:30,
DropdownMenu,Default,1200px,0,2026-03-22 03:13:30,
ActivityFeed,Timeline,1200px,21,2026-03-22 03:13:30,2-serious
ActivityFeed,Content Styles,1200px,10,2026-03-22 03:13:30,2-serious
ActivityFeed,With File Content,1200px,7,2026-03-22 03:13:30,2-serious
ActivityFeed,With Badge,1200px,5,2026-03-22 03:13:30,2-serious
ActivityFeed,With Comment Content,1200px,4,2026-03-22 03:13:30,2-serious
ActivityFeed,With CTA Content,1200px,4,2026-03-22 03:13:30,2-serious
ActivityFeed,Single Item,1200px,3,2026-03-22 03:13:30,2-serious
ActivityFeed,Unread State,1200px,3,2026-03-22 03:13:30,2-serious
Notifications,Default,1200px,26,2026-03-22 03:13:30,2-serious
Header,Double Row,1200px,5,2026-03-22 03:13:30,2-serious
Header,With Switcher,1200px,4,2026-03-22 03:13:30,2-serious
Header,Standard,1200px,2,2026-03-22 03:13:30,2-serious
