viewport,group,story,theme,axe_rules_flagged,checks_needing_manual_review,canvas_width,content_width
1200,Blocks/EmptyState,No Tasks,light,,,1200,1200
1200,Blocks/EmptyState,No Tasks,dark,color-contrast,,1200,1200
1200,Blocks/EmptyState,No Results,light,,,1200,1200
1200,Blocks/EmptyState,No Results,dark,color-contrast,,1200,1200
1200,Blocks/EmptyState,Upload Photos,light,,color-contrast,1200,1200
1200,Blocks/EmptyState,Upload Photos,dark,color-contrast,color-contrast,1200,1200
1200,Blocks/Header,With Announcement,light,color-contrast,,1200,1200
1200,Blocks/Header,With Announcement,dark,color-contrast,,1200,1200
1200,Blocks/Header,Standard,light,color-contrast,,1200,1200
1200,Blocks/Header,Standard,dark,color-contrast,,1200,1200
1200,Blocks/Header,Pill Nav,light,color-contrast,,1200,1200
1200,Blocks/Header,Pill Nav,dark,color-contrast,,1200,1200
1200,Blocks/Header,Dark Pill Nav,light,color-contrast,,1200,1200
1200,Blocks/Header,Dark Pill Nav,dark,color-contrast,color-contrast,1200,1200
1200,Blocks/Header,Rounded Buttons,light,color-contrast,,1200,1200
1200,Blocks/Header,Rounded Buttons,dark,color-contrast,,1200,1200
1200,Blocks/Header,With Language,light,color-contrast,,1200,1200
1200,Blocks/Header,With Language,dark,color-contrast,,1200,1200
1200,Blocks/Header,Centered Logo,light,color-contrast,,1200,1200
1200,Blocks/Header,Centered Logo,dark,color-contrast,,1200,1200
1200,Blocks/Header,Dark Background,light,color-contrast,,1200,1200
1200,Blocks/Header,Dark Background,dark,color-contrast,color-contrast,1200,1200
1200,Blocks/Header,With Search,light,color-contrast,,1200,1200
1200,Blocks/Header,With Search,dark,color-contrast,,1200,1200
1200,Blocks/Header,With Switcher,light,color-contrast,,1200,1200
1200,Blocks/Header,With Switcher,dark,color-contrast,,1200,1200
1200,Blocks/Header,Double Row,light,color-contrast,,1200,1200
1200,Blocks/Header,Double Row,dark,color-contrast,,1200,1200
1200,Blocks/Login,Standard,light,aria-hidden-focus; color-contrast,,1200,1200
1200,Blocks/Login,Standard,dark,aria-hidden-focus,,1200,1200
1200,Blocks/Login,Card,light,aria-hidden-focus; color-contrast,,1200,1200
1200,Blocks/Login,Card,dark,aria-hidden-focus,,1200,1200
1200,Blocks/Login,Work Email,light,aria-hidden-focus,,1200,1200
1200,Blocks/Login,Work Email,dark,aria-hidden-focus; color-contrast,,1200,1200
1200,Blocks/Notifications,Default,light,color-contrast,color-contrast,1200,1200
1200,Blocks/Notifications,Default,dark,color-contrast,,1200,1200
1200,Blocks/QuickSend,Default,light,color-contrast,color-contrast,1200,1200
1200,Blocks/QuickSend,Default,dark,,color-contrast,1200,1200
1200,Blocks/RecentTransactions,Default,light,color-contrast,,1200,1200
1200,Blocks/RecentTransactions,Default,dark,color-contrast,,1200,1200
1200,Blocks/SearchableTable,With Search,light,empty-table-header,,1200,1200
1200,Blocks/SearchableTable,With Search,dark,empty-table-header,,1200,1200
1200,Blocks/SearchableTable,With Title,light,empty-table-header,,1200,1200
1200,Blocks/SearchableTable,With Title,dark,empty-table-header,,1200,1200
1200,Blocks/Table,Default,light,button-name; color-contrast; empty-table-header; label,,1200,1200
1200,Blocks/Table,Default,dark,button-name; empty-table-header; label,,1200,1200
1200,Quality/Interaction contracts,Slider Keyboard,light,,,1200,1200
1200,Quality/Interaction contracts,Slider Keyboard,dark,,,1200,1200
1200,Quality/Interaction contracts,Range Keyboard,light,,,1200,1200
1200,Quality/Interaction contracts,Range Keyboard,dark,,,1200,1200
1200,Quality/Interaction contracts,Range With Step,light,,,1200,1200
1200,Quality/Interaction contracts,Range With Step,dark,,,1200,1200
1200,Quality/Interaction contracts,Keyboard Sorting,light,,,1200,1200
1200,Quality/Interaction contracts,Keyboard Sorting,dark,,,1200,1200
1200,Quality/Interaction contracts,Default Tabs,light,,,1200,1200
1200,Quality/Interaction contracts,Default Tabs,dark,,,1200,1200
1200,Quality/Interaction contracts,Calendar Keyboard,light,,,1200,1200
1200,Quality/Interaction contracts,Calendar Keyboard,dark,,,1200,1200
1200,Quality/Interaction contracts,Controlled Range Reset,light,,,1200,1200
1200,Quality/Interaction contracts,Controlled Range Reset,dark,,,1200,1200
1200,Quality/Interaction contracts,Tooltip Trigger,light,,,1200,1200
1200,Quality/Interaction contracts,Tooltip Trigger,dark,,,1200,1200
1200,Quality/Interaction contracts,Tooltip Actions,light,,,1200,1200
1200,Quality/Interaction contracts,Tooltip Actions,dark,,,1200,1200
1200,Quality/Interaction contracts,Upload Selection,light,,,1200,1200
1200,Quality/Interaction contracts,Upload Selection,dark,,,1200,1200
1200,Quality/Interaction contracts,Select Tab Dismissal,light,,aria-valid-attr-value,1200,1200
1200,Quality/Interaction contracts,Select Tab Dismissal,dark,,aria-valid-attr-value,1200,1200
1200,Quality/Interaction contracts,Theme And Narrow Layouts,light,,,1200,1200
1200,Quality/Interaction contracts,Theme And Narrow Layouts,dark,,,1200,1200
1200,Components/Accordion,Default,light,landmark-unique,,1200,1200
1200,Components/Accordion,Default,dark,landmark-unique,,1200,1200
1200,Components/Accordion,Nested,light,landmark-unique,,1200,1200
1200,Components/Accordion,Nested,dark,landmark-unique,,1200,1200
1200,Components/Accordion,With Icons,light,landmark-unique,,1200,1200
1200,Components/Accordion,With Icons,dark,landmark-unique,,1200,1200
1200,Components/Accordion,With Numbers,light,,,1200,1200
1200,Components/Accordion,With Numbers,dark,color-contrast,,1200,1200
1200,Components/Accordion,With Logo,light,landmark-unique,,1200,1200
1200,Components/Accordion,With Logo,dark,landmark-unique,,1200,1200
1200,Components/Accordion,With Badge,light,,color-contrast,1200,1200
1200,Components/Accordion,With Badge,dark,color-contrast,color-contrast,1200,1200
1200,Components/Accordion,Multiple,light,,,1200,1200
1200,Components/Accordion,Multiple,dark,,,1200,1200
1200,Components/Accordion,Nested With Icons,light,landmark-unique,color-contrast,1200,1200
1200,Components/Accordion,Nested With Icons,dark,landmark-unique,color-contrast,1200,1200
1200,Elements/ActivityFeed,Single Item,light,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Single Item,dark,,,1200,1200
1200,Elements/ActivityFeed,With File Content,light,color-contrast,color-contrast,1200,1200
1200,Elements/ActivityFeed,With File Content,dark,,,1200,1200
1200,Elements/ActivityFeed,With Comment Content,light,color-contrast,,1200,1200
1200,Elements/ActivityFeed,With Comment Content,dark,,,1200,1200
1200,Elements/ActivityFeed,With CTA Content,light,color-contrast,,1200,1200
1200,Elements/ActivityFeed,With CTA Content,dark,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Unread State,light,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Unread State,dark,,,1200,1200
1200,Elements/ActivityFeed,With Badge,light,color-contrast,color-contrast,1200,1200
1200,Elements/ActivityFeed,With Badge,dark,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Timeline,light,color-contrast,color-contrast,1200,1200
1200,Elements/ActivityFeed,Timeline,dark,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Content Styles,light,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Content Styles,dark,,,1200,1200
1200,Components/Alert,Toast Information,light,,,1200,1200
1200,Components/Alert,Toast Information,dark,,,1200,1200
1200,Components/Alert,All Toasts,light,,,1200,1200
1200,Components/Alert,All Toasts,dark,,,1200,1200
1200,Components/Alert,All Banners,light,,,1200,1200
1200,Components/Alert,All Banners,dark,color-contrast,,1200,1200
1200,Components/Avatar,Default,light,,,1200,1200
1200,Components/Avatar,Default,dark,,,1200,1200
1200,Components/Avatar,Image Sizes,light,,,1200,1200
1200,Components/Avatar,Image Sizes,dark,,,1200,1200
1200,Components/Avatar,Icon Sizes,light,,,1200,1200
1200,Components/Avatar,Icon Sizes,dark,,,1200,1200
1200,Components/Avatar,Initials Sizes,light,,,1200,1200
1200,Components/Avatar,Initials Sizes,dark,,,1200,1200
1200,Components/Avatar,Status Indicators,light,,,1200,1200
1200,Components/Avatar,Status Indicators,dark,,,1200,1200
1200,Components/Avatar,Custom Icon,light,,,1200,1200
1200,Components/Avatar,Custom Icon,dark,,,1200,1200
1200,Components/Avatar,Group,light,,,1200,1200
1200,Components/Avatar,Group,dark,,,1200,1200
1200,Components/Badge,Default,light,color-contrast,,1200,1200
1200,Components/Badge,Default,dark,color-contrast,,1200,1200
1200,Components/Badge,Filled Colors,light,color-contrast,,1200,1200
1200,Components/Badge,Filled Colors,dark,color-contrast,,1200,1200
1200,Components/Badge,Accent Colors,light,color-contrast,,1200,1200
1200,Components/Badge,Accent Colors,dark,color-contrast,,1200,1200
