group,story,width,theme,overflow,rules
Blocks/EmptyState,No Tasks,1200,light,False,
Blocks/EmptyState,No Tasks,1200,dark,False,
Blocks/EmptyState,No Tasks,390,light,False,
Blocks/EmptyState,No Tasks,390,dark,False,
Blocks/EmptyState,No Results,1200,light,False,
Blocks/EmptyState,No Results,1200,dark,False,
Blocks/EmptyState,No Results,390,light,False,
Blocks/EmptyState,No Results,390,dark,False,
Blocks/EmptyState,Upload Photos,1200,light,False,
Blocks/EmptyState,Upload Photos,1200,dark,False,
Blocks/EmptyState,Upload Photos,390,light,False,
Blocks/EmptyState,Upload Photos,390,dark,False,
Blocks/Header,With Announcement,1200,light,False,
Blocks/Header,With Announcement,1200,dark,False,
Blocks/Header,With Announcement,390,light,False,
Blocks/Header,With Announcement,390,dark,False,
Blocks/Header,Standard,1200,light,False,color-contrast
Blocks/Header,Standard,1200,dark,False,
Blocks/Header,Standard,390,light,False,
Blocks/Header,Standard,390,dark,False,
Blocks/Header,Pill Nav,1200,light,False,
Blocks/Header,Pill Nav,1200,dark,False,
Blocks/Header,Pill Nav,390,light,False,
Blocks/Header,Pill Nav,390,dark,False,
Blocks/Header,Dark Pill Nav,1200,light,False,
Blocks/Header,Dark Pill Nav,1200,dark,False,color-contrast
Blocks/Header,Dark Pill Nav,390,light,False,
Blocks/Header,Dark Pill Nav,390,dark,False,color-contrast
Blocks/Header,Rounded Buttons,1200,light,False,color-contrast
Blocks/Header,Rounded Buttons,1200,dark,False,color-contrast
Blocks/Header,Rounded Buttons,390,light,False,
Blocks/Header,Rounded Buttons,390,dark,False,
Blocks/Header,With Language,1200,light,False,color-contrast
Blocks/Header,With Language,1200,dark,False,
Blocks/Header,With Language,390,light,False,
Blocks/Header,With Language,390,dark,False,
Blocks/Header,Centered Logo,1200,light,False,color-contrast
Blocks/Header,Centered Logo,1200,dark,False,
Blocks/Header,Centered Logo,390,light,False,
Blocks/Header,Centered Logo,390,dark,False,
Blocks/Header,Dark Background,1200,light,False,
Blocks/Header,Dark Background,1200,dark,False,color-contrast
Blocks/Header,Dark Background,390,light,False,
Blocks/Header,Dark Background,390,dark,False,color-contrast
Blocks/Header,With Search,1200,light,False,color-contrast
Blocks/Header,With Search,1200,dark,False,
Blocks/Header,With Search,390,light,False,
Blocks/Header,With Search,390,dark,False,
Blocks/Header,With Switcher,1200,light,False,color-contrast
Blocks/Header,With Switcher,1200,dark,False,color-contrast
Blocks/Header,With Switcher,390,light,False,
Blocks/Header,With Switcher,390,dark,False,
Blocks/Header,Double Row,1200,light,False,color-contrast
Blocks/Header,Double Row,1200,dark,False,color-contrast
Blocks/Header,Double Row,390,light,False,
Blocks/Header,Double Row,390,dark,False,
Blocks/Login,Standard,1200,light,False,
Blocks/Login,Standard,1200,dark,False,
Blocks/Login,Standard,390,light,False,
Blocks/Login,Standard,390,dark,False,
Blocks/Login,Card,1200,light,False,
Blocks/Login,Card,1200,dark,False,
Blocks/Login,Card,390,light,False,
Blocks/Login,Card,390,dark,False,
Blocks/Login,Work Email,1200,light,False,
Blocks/Login,Work Email,1200,dark,False,color-contrast
Blocks/Login,Work Email,390,light,False,
Blocks/Login,Work Email,390,dark,False,color-contrast
Blocks/Notifications,Default,1200,light,False,color-contrast
Blocks/Notifications,Default,1200,dark,False,
Blocks/Notifications,Default,390,light,True,color-contrast
Blocks/Notifications,Default,390,dark,True,
Blocks/QuickSend,Default,1200,light,False,color-contrast
Blocks/QuickSend,Default,1200,dark,False,
Blocks/QuickSend,Default,390,light,True,color-contrast
Blocks/QuickSend,Default,390,dark,True,
Blocks/RecentTransactions,Default,1200,light,False,color-contrast
Blocks/RecentTransactions,Default,1200,dark,False,
Blocks/RecentTransactions,Default,390,light,False,color-contrast
Blocks/RecentTransactions,Default,390,dark,False,
Blocks/SearchableTable,With Search,1200,light,False,
Blocks/SearchableTable,With Search,1200,dark,False,
Blocks/SearchableTable,With Search,390,light,False,
Blocks/SearchableTable,With Search,390,dark,False,
Blocks/SearchableTable,With Title,1200,light,False,
Blocks/SearchableTable,With Title,1200,dark,False,
Blocks/SearchableTable,With Title,390,light,False,
Blocks/SearchableTable,With Title,390,dark,False,
Blocks/Table,Default,1200,light,False,
Blocks/Table,Default,1200,dark,False,
Blocks/Table,Default,390,light,False,
Blocks/Table,Default,390,dark,False,
Quality/Accessibility contracts,Login,1200,light,False,
Quality/Accessibility contracts,Login,1200,dark,False,
Quality/Accessibility contracts,Login,390,light,False,
Quality/Accessibility contracts,Login,390,dark,False,
Quality/Accessibility contracts,Table,1200,light,False,
Quality/Accessibility contracts,Table,1200,dark,False,
Quality/Accessibility contracts,Table,390,light,False,
Quality/Accessibility contracts,Table,390,dark,False,
Quality/Accessibility contracts,Progress,1200,light,False,
Quality/Accessibility contracts,Progress,1200,dark,False,
Quality/Accessibility contracts,Progress,390,light,False,
Quality/Accessibility contracts,Progress,390,dark,False,
Quality/Accessibility contracts,Contrast,1200,light,False,
Quality/Accessibility contracts,Contrast,1200,dark,False,
Quality/Accessibility contracts,Contrast,390,light,False,
Quality/Accessibility contracts,Contrast,390,dark,False,
Quality/Accessibility contracts,Chart,1200,light,False,
Quality/Accessibility contracts,Chart,1200,dark,False,
Quality/Accessibility contracts,Chart,390,light,True,
